iter	Passed	Remaining
0	12	12431
1	23	11485
2	33	11292
3	43	10726
4	50	10087
5	57	9485
6	63	8978
7	70	8744
8	77	8483
9	83	8281
10	91	8183
11	97	8017
12	104	7921
13	111	7818
14	118	7769
15	125	7697
16	131	7629
17	138	7557
18	144	7477
19	151	7446
20	159	7427
21	165	7374
22	172	7340
23	179	7299
24	187	7312
25	194	7283
26	201	7273
27	208	7227
28	214	7178
29	221	7158
30	228	7133
31	235	7108
32	241	7085
33	248	7073
34	255	7036
35	262	7034
36	270	7041
37	277	7016
38	284	7015
39	292	7009
40	299	7012
41	307	7013
42	314	7001
43	322	6996
44	329	7002
45	338	7012
46	345	7006
47	352	6991
48	360	6992
49	367	6990
50	374	6977
51	383	6988
52	390	6979
53	398	6979
54	405	6974
55	413	6962
56	419	6947
57	426	6934
58	434	6930
59	441	6922
60	449	6918
61	456	6905
62	463	6892
63	470	6874
64	476	6859
65	484	6860
66	491	6850
67	499	6846
68	506	6828
69	513	6820
70	520	6810
71	528	6809
72	536	6806
73	542	6790
74	549	6781
75	557	6774
76	563	6757
77	571	6753
78	578	6739
79	584	6725
80	591	6710
81	598	6700
82	605	6689
83	613	6691
84	623	6708
85	632	6725
86	644	6760
87	656	6804
88	666	6819
89	676	6843
90	689	6889
91	700	6909
92	708	6910
93	720	6941
94	729	6952
95	741	6979
96	751	6996
97	761	7006
98	773	7035
99	786	7081
100	796	7085
101	807	7107
102	820	7142
103	828	7140
104	837	7135
105	846	7138
106	856	7144
107	863	7133
108	871	7124
109	879	7117
110	887	7109
111	895	7103
112	903	7091
113	911	7082
114	921	7089
115	931	7099
116	940	7099
117	948	7089
118	956	7083
119	966	7089
120	976	7093
121	984	7088
122	996	7103
123	1005	7102
124	1015	7106
125	1026	7122
126	1039	7144
127	1049	7148
128	1058	7149
129	1068	7151
130	1079	7158
131	1088	7160
132	1097	7151
133	1106	7148
134	1113	7137
135	1121	7122
136	1127	7104
137	1135	7090
138	1141	7068
139	1148	7053
140	1155	7039
141	1163	7028
142	1170	7015
143	1177	6998
144	1185	6988
145	1192	6977
146	1200	6964
147	1207	6952
148	1214	6936
149	1222	6924
150	1229	6913
151	1240	6921
152	1248	6910
153	1255	6896
154	1262	6882
155	1269	6866
156	1276	6854
157	1283	6839
158	1290	6825
159	1298	6819
160	1307	6814
161	1314	6802
162	1322	6789
163	1328	6774
164	1336	6763
165	1343	6751
166	1351	6740
167	1359	6733
168	1367	6726
169	1376	6719
170	1383	6708
171	1391	6700
172	1399	6687
173	1406	6678
174	1415	6670
175	1424	6668
176	1431	6657
177	1441	6654
178	1450	6650
179	1460	6651
180	1471	6657
181	1479	6649
182	1488	6644
183	1498	6644
184	1506	6637
185	1516	6635
186	1525	6632
187	1534	6625
188	1542	6617
189	1550	6610
190	1559	6606
191	1567	6595
192	1574	6583
193	1581	6571
194	1590	6566
195	1598	6558
196	1606	6548
197	1614	6537
198	1621	6526
199	1628	6512
200	1636	6505
201	1644	6496
202	1650	6480
203	1657	6466
204	1663	6451
205	1670	6440
206	1678	6428
207	1685	6418
208	1692	6407
209	1700	6398
210	1707	6384
211	1715	6375
212	1722	6363
213	1729	6352
214	1737	6342
215	1743	6327
216	1750	6316
217	1757	6304
218	1764	6291
219	1770	6277
220	1777	6266
221	1784	6254
222	1791	6242
223	1798	6229
224	1804	6215
225	1811	6203
226	1817	6189
227	1824	6178
228	1831	6167
229	1838	6155
230	1848	6152
231	1855	6143
232	1863	6133
233	1870	6122
234	1877	6112
235	1884	6101
236	1891	6089
237	1898	6077
238	1905	6067
239	1933	6121
240	1941	6113
241	1947	6100
242	1955	6092
243	1962	6080
244	1969	6070
245	1976	6057
246	1983	6045
247	1989	6034
248	1996	6022
249	2002	6008
250	2010	5999
251	2016	5985
252	2023	5974
253	2031	5967
254	2038	5955
255	2045	5944
256	2052	5933
257	2059	5924
258	2066	5913
259	2074	5904
260	2082	5895
261	2088	5881
262	2094	5870
263	2102	5860
264	2108	5848
265	2115	5836
266	2122	5827
267	2130	5817
268	2137	5808
269	2144	5798
270	2151	5787
271	2159	5778
272	2166	5768
273	2172	5756
274	2179	5746
275	2186	5735
276	2193	5725
277	2200	5715
278	2207	5704
279	2213	5692
280	2221	5684
281	2230	5678
282	2236	5666
283	2242	5653
284	2248	5641
285	2255	5630
286	2261	5618
287	2268	5608
288	2275	5599
289	2282	5588
290	2289	5578
291	2296	5567
292	2302	5555
293	2308	5542
294	2314	5530
295	2320	5519
296	2326	5507
297	2333	5496
298	2340	5486
299	2347	5476
